symbol,close,change%,volume,volume_M,rvol,atr%,resistance,support,dist_to_R%,dist_to_S%,breakout_reason,target1,target2,target3,downside1,downside2,potential_gain%,risk%,risk_reward,sma10,sma20,score,setup
PYPL,69.95,3.92,21499364,21.5,2.71,2.78,69.96,68.1,0.02,2.65,Tested 8x | 5-day closing high,70.89,71.82,72.98,67.17,66.24,2.68,2.65,1.01,68.1,67.99,105,Strong up +3.9% | High volume 2.7x | Near breakout (0.0%) | Uptrend
AMC,2.98,3.11,21296455,21.3,1.79,4.05,3.0,2.9,0.55,2.52,Consolidation zone (spike to $3.07) | Tested 3x | 20-day high,3.04,3.09,3.14,2.86,2.81,3.62,2.52,1.44,2.9,2.85,105,Strong up +3.1% | Elevated volume 1.8x | High volatility 4.1% | Near breakout (0.6%) | Uptrend
HOOD,136.9,12.38,52357822,52.4,1.42,4.3,137.75,124.1,0.62,9.35,20-day high,144.58,151.4,159.84,117.27,110.45,10.59,9.35,1.13,124.1,117.71,95,Strong up +12.4% | High volatility 4.3% | Near breakout (0.6%) | Uptrend
COIN,332.83,6.58,7849889,7.8,1.45,4.49,335.68,326.27,0.86,1.97,Tested 3x | 5-day high,340.39,345.09,350.91,321.56,316.86,3.68,1.97,1.87,326.27,319.43,95,Strong up +6.6% | High volatility 4.5% | Near breakout (0.9%) | Uptrend
BIDU,135.5,3.02,2766994,2.8,0.44,5.78,137.42,133.25,1.42,1.66,Tested 6x,139.51,141.6,144.17,131.16,129.08,4.5,1.66,2.71,133.25,119.62,95,Strong up +3.0% | High volatility 5.8% | Near breakout (1.4%) | Good R/R 2.7:1 | Uptrend
SNAP,8.41,1.57,176983935,177.0,1.42,5.42,8.55,8.28,1.63,1.59,Consolidation zone (spike to $8.86) | Tested 4x | 20-day high,8.68,8.82,8.99,8.14,8.0,4.85,1.59,3.04,8.28,7.77,95,High volatility 5.4% | Near breakout (1.6%) | Excellent R/R 3.0:1 | Uptrend
MU,163.74,4.25,19374331,19.4,0.97,5.13,168.62,162.42,2.98,0.81,Tested 4x,171.71,174.81,178.64,159.32,156.22,6.76,0.81,8.36,162.42,149.37,95,Strong up +4.3% | High volatility 5.1% | Approaching breakout | Excellent R/R 8.4:1 | Uptrend
RBLX,141.89,5.04,5783869,5.8,1.23,3.37,142.0,135.34,0.08,4.62,Double-tested | 20-day high,145.33,148.66,152.78,132.01,128.68,4.77,4.62,1.03,135.34,133.47,90,Strong up +5.0% | Good volatility 3.4% | Near breakout (0.1%) | Uptrend
BABA,180.66,4.8,15842275,15.8,0.74,4.22,181.35,168.88,0.38,6.52,Tested 3x | 20-day high,187.59,193.82,201.53,162.64,156.41,7.28,6.52,1.12,168.88,156.62,85,Strong up +4.8% | High volatility 4.2% | Near breakout (0.4%) | Uptrend
LYFT,22.96,5.32,19993992,20.0,0.92,6.3,23.11,22.11,0.65,3.71,Tested 5x | 5-day high,23.61,24.11,24.73,21.61,21.11,5.02,3.71,1.35,22.11,20.03,85,Strong up +5.3% | High volatility 6.3% | Near breakout (0.7%) | Uptrend
