date,trades,winners,losers,win_rate,total_pnl,avg_pnl,avg_winner,avg_loser,partials_taken,trail_stops,7min_exits
2025-09-29,8,2,6,25.0%,$1357.25,$169.66,$771.15,$-30.84,7,1,6
2025-09-30,5,1,4,20.0%,$-489.19,$-97.84,$404.20,$-223.35,4,1,4
2025-10-01,16,2,14,12.5%,$-927.79,$-57.99,$22.43,$-69.48,2,2,14
2025-10-02,12,6,6,50.0%,$-67.05,$-5.59,$71.34,$-82.51,5,3,9
2025-10-03,8,2,6,25.0%,$-826.89,$-103.36,$543.18,$-318.87,7,2,6
2025-10-06,6,1,5,16.7%,$-330.36,$-55.06,$39.94,$-74.06,0,0,6
2025-10-07,9,4,5,44.4%,$-87.31,$-9.70,$108.97,$-104.64,6,3,6
2025-10-08,12,1,11,8.3%,$-958.33,$-79.86,$50.40,$-91.70,3,1,11
2025-10-09,3,1,2,33.3%,$-623.51,$-207.84,$34.66,$-329.08,0,0,3
2025-10-10,18,4,14,22.2%,$-589.66,$-32.76,$503.70,$-186.03,5,3,14
